tour,player_name,ras_slow,ras_medium,ras_fast,n_slow,n_medium,n_fast,body_return_pts
ATP,Tim Van Rijthoven,0.9696969696969697,0.9655172413793104,1.0,33,29,29,91
ATP,Tim van Rijthoven,0.9512195121951219,0.9655172413793104,0.9491525423728814,41,29,59,129
ATP,Timofey Skatov,0.9714285714285714,0.9285714285714286,0.9583333333333334,35,28,24,87
ATP,Titouan Droguet,1.0,0.8823529411764706,0.9722222222222222,94,17,36,147
ATP,Tomas Berdych,0.9504132231404959,0.9267015706806283,0.875,121,191,168,480
ATP,Tomas Machac,0.9904761904761905,0.9883720930232558,0.9402985074626866,105,86,67,258
ATP,Tomas Martin Etcheverry,0.98125,0.9765625,0.9444444444444444,160,128,126,414
ATP,Tommy Paul,0.9693593314763231,0.9656862745098039,0.9390519187358917,359,408,443,1210
ATP,Tristan Schoolkate,1.0,1.0,1.0,95,21,41,157
ATP,Ugo Humbert,0.9818181818181818,0.8975265017667845,0.9081632653061225,110,283,294,687
ATP,Vasek Pospisil,0.891156462585034,0.9271523178807947,0.9108910891089109,147,151,202,500
ATP,Victor Estrella Burgos,0.96875,0.9583333333333334,1.0,32,24,10,66
ATP,Viktor Troicki,0.8979591836734694,0.8823529411764706,0.8571428571428571,98,68,49,215
ATP,Yannick Hanfmann,0.7804878048780488,0.8961038961038961,0.8888888888888888,41,77,81,199
ATP,Yen Hsun Lu,0.8,0.92,0.8571428571428571,10,25,21,56
ATP,Yibing Wu,0.9850746268656716,0.9736842105263158,0.9651162790697675,134,76,86,296
ATP,Yoshihito Nishioka,0.9426751592356688,0.9578947368421052,0.8161764705882353,157,190,136,483
ATP,Yosuke Watanuki,1.0,0.9583333333333334,0.9166666666666666,38,24,48,110
ATP,Yu Hsiou Hsu,0.96875,0.9411764705882353,0.9354838709677419,32,17,31,80
ATP,Yuichi Sugita,0.9230769230769231,0.9701492537313433,0.9375,39,67,64,170
ATP,Zachary Svajda,0.9803921568627451,0.9619047619047619,0.9420289855072463,153,105,69,327
ATP,Zhizhen Zhang,0.990909090909091,0.967032967032967,0.9787234042553191,110,91,94,295
ATP,Zizou Bergs,1.0,0.9722222222222222,0.9722222222222222,96,36,36,168
WTA,Agnieszka Radwanska,0.9572192513368984,0.961038961038961,0.9124087591240876,187,154,137,478
WTA,Ajla Tomljanovic,0.9771241830065359,0.9736842105263158,0.8928571428571429,306,228,168,702
WTA,Aleksandra Krunic,0.9895833333333334,0.9069767441860465,0.9583333333333334,96,43,72,211
WTA,Alexandra Dulgheru,0.9166666666666666,1.0,0.8666666666666667,12,19,30,61
WTA,Aliaksandra Sasnovich,0.9575757575757575,0.9428571428571428,0.9375,165,210,160,535
WTA,Aliona Bolsova,1.0,0.9565217391304348,0.9,19,23,20,62
WTA,Alison Riske,0.9636363636363636,0.9503105590062112,0.9342105263157895,165,161,152,478
WTA,Alison Riske Amritraj,1.0,0.9908256880733946,1.0,135,109,51,295
WTA,Alison Van Uytvanck,0.9613259668508287,0.95625,0.9624060150375939,181,160,133,474
WTA,Alize Cornet,0.972972972972973,0.9487179487179487,0.9340659340659341,37,78,91,206
WTA,Alizé Cornet,0.9575757575757575,0.9896907216494846,0.9523809523809523,165,97,84,346
WTA,Alycia Parks,0.9545454545454546,0.9,0.8333333333333334,44,20,12,76
WTA,Amanda Anisimova,0.9664804469273743,0.9415584415584416,0.937984496124031,179,154,129,462
WTA,Ana Bogdan,1.0,0.9797979797979798,0.9553571428571429,88,99,112,299
WTA,Ana Konjuh,0.8913043478260869,0.8953488372093024,0.9047619047619048,46,86,63,195
WTA,Anastasia Pavlyuchenkova,0.9649122807017544,0.9476744186046512,0.954337899543379,228,172,219,619
WTA,Anastasia Potapova,0.9906542056074766,0.9595959595959596,0.9479166666666666,107,99,96,302
