tour,player_name,serve_pts,serve_pts_won,return_pts,return_pts_won,serve_win_pct,return_win_pct,total_win_pct,ras_slow,ras_medium,ras_fast,n_slow,n_medium,n_fast,body_return_pts,cluster,PC1,PC2
ATP,Kyle Edmund,2164,1393,2165,790,0.6437153419593346,0.3648960739030023,0.5042735042735043,0.9264705882352942,0.8901098901098901,0.8830188679245283,204.0,182.0,265.0,651.0,0.0,-1.4676627445958133,-0.1966877034293506
ATP,L. Mayer,1091,733,1159,396,0.6718606782768103,0.34167385677308026,0.5017777777777778,,,,,,,,,,
ATP,L. Pouille,1445,981,1521,540,0.6788927335640138,0.35502958579881655,0.5128118678354686,,,,,,,,,,
ATP,Laslo Djere,2503,1593,2464,842,0.6364362764682381,0.3417207792207792,0.490235554660761,0.9668508287292817,0.9037037037037037,0.7633587786259542,181.0,135.0,131.0,447.0,5.0,-1.828619982763516,1.922219762847592
ATP,Liam Broady,1161,698,1156,435,0.6012058570198106,0.3762975778546713,0.4889943892965041,0.9296875,0.9675675675675676,0.8740157480314961,128.0,185.0,127.0,440.0,6.0,-0.42183538331750103,-0.15965824134888112
ATP,Lloyd Harris,1766,1170,1897,647,0.6625141562853907,0.3410648392198208,0.49604149604149606,0.9259259259259259,0.8436018957345972,0.8267326732673267,162.0,211.0,202.0,575.0,0.0,-2.664875325280334,0.48298952977871845
ATP,Lorenzo Musetti,2398,1552,2462,915,0.6472060050041701,0.3716490658001625,0.5076131687242799,0.9672727272727273,0.8615384615384616,0.8533333333333334,275.0,130.0,300.0,705.0,5.0,-1.5529830243208884,1.0186609082253115
ATP,Lorenzo Sonego,2079,1331,2115,743,0.6402116402116402,0.3513002364066194,0.4945159752026705,0.9492753623188406,0.9022556390977443,0.9038461538461539,138.0,133.0,104.0,375.0,4.0,-0.7640197401333583,0.02787020217042156
ATP,Lucas Pouille,2918,1871,2879,1046,0.6411925976696368,0.36332059742966305,0.5031913058478523,0.9020771513353115,0.8766666666666667,0.8508064516129032,337.0,300.0,248.0,885.0,0.0,-2.3215890591050843,-0.3277371818914166
ATP,M. Berrettini,998,678,1021,343,0.6793587174348698,0.33594515181194906,0.5056958890539871,,,,,,,,,,
ATP,M. Cecchinato,1150,736,1121,409,0.64,0.3648528099910794,0.5041831792162044,,,,,,,,,,
ATP,M. Cilic,2645,1820,2889,1098,0.6880907372400756,0.38006230529595014,0.5272858691723888,,,,,,,,,,
ATP,M. Fucsovics,1372,867,1447,576,0.6319241982507289,0.3980649619903248,0.511883646683221,,,,,,,,,,
ATP,M. Marterer,1076,723,1040,361,0.6719330855018587,0.3471153846153846,0.5122873345935728,,,,,,,,,,
ATP,M. Raonic,1156,839,1160,379,0.7257785467128027,0.3267241379310345,0.5259067357512953,,,,,,,,,,
ATP,Mackenzie McDonald,2090,1331,1993,687,0.6368421052631579,0.34470647265429,0.4942444281165809,0.9629629629629629,0.9333333333333333,0.8981481481481481,135.0,135.0,108.0,378.0,6.0,-0.1825044669168319,0.3220027898664095
ATP,Marco Cecchinato,1143,673,1100,341,0.5888013998250219,0.31,0.45207311636201514,0.8762886597938144,0.9178082191780822,0.8787878787878788,97.0,73.0,66.0,236.0,2.0,-1.8563044625090428,-1.234566611780096
ATP,Marcos Baghdatis,1043,657,1092,371,0.6299137104506232,0.33974358974358976,0.48149882903981267,0.963855421686747,0.9225352112676056,0.8854961832061069,83.0,142.0,131.0,356.0,6.0,-0.4415448493303328,0.4963476111496647
ATP,Marcos Giron,1808,1124,1804,606,0.6216814159292036,0.33592017738359203,0.4789590254706534,0.9856115107913669,0.9253731343283582,0.9814814814814815,139.0,134.0,108.0,381.0,4.0,0.8346802445042774,-0.10560121642222925
