tour,player_name,ras_slow,ras_medium,ras_fast,n_slow,n_medium,n_fast,body_return_pts,cluster,PC1,PC2
WTA,Katie Swan,0.9411764705882353,0.9464285714285714,0.9803921568627451,68,56,51,175,4,0.4673367567444712,-1.0478912269780403
WTA,Katie Volynets,1.0,1.0,0.9423076923076923,42,31,52,125,1,1.7163834882798463,0.4964963187987154
WTA,Kiki Bertens,0.9433962264150944,0.9202127659574468,0.882051282051282,159,188,195,542,6,-0.8070920509836224,0.11443320714849747
WTA,Kim Clijsters,0.8333333333333334,0.95,0.9666666666666667,12,20,30,62,2,-1.1956994328224044,-3.1354754956130715
WTA,Kimberly Birrell,1.0,1.0,1.0,27,10,14,51,1,2.2677660827375945,-0.13307153749212242
WTA,Kirsten Flipkens,0.9662921348314607,0.8952380952380953,0.8282828282828283,89,105,99,293,5,-1.3348655374186296,1.2161406623438238
WTA,Kristie Ahn,0.908256880733945,0.8863636363636364,0.9142857142857143,109,44,70,223,0,-1.4884604822082501,-0.9085822876922391
WTA,Kristina Mladenovic,0.9522184300341296,0.9130434782608695,0.8992805755395683,293,207,139,639,6,-0.6134160792369986,0.12079301728253032
WTA,Kristyna Pliskova,0.9090909090909091,0.8214285714285714,0.7804878048780488,44,56,41,141,0,-3.6642979974726404,0.6758688143893018
WTA,Kurumi Nara,0.9823008849557522,0.9607843137254902,0.94,113,51,50,214,3,0.8855522709488003,0.22014554923723126
WTA,Lara Arruabarrena,0.9210526315789473,0.875,0.9230769230769231,38,24,26,88,0,-1.3758807901331873,-0.7210024619271667
WTA,Laura Siegemund,0.9137931034482759,0.9052631578947369,0.9391304347826087,116,95,115,326,4,-0.9051440072725893,-1.0963242520479153
WTA,Lauren Davis,0.9685863874345549,0.9554455445544554,0.9375,191,202,128,521,3,0.5857293110088665,-0.027543953459292194
WTA,Lesia Tsurenko,0.9467455621301775,0.9842105263157894,0.9506172839506173,169,190,162,521,1,0.7935416697607472,-0.6700663580234588
WTA,Lesley Pattinama Kerkhove,0.9444444444444444,1.0,0.8666666666666667,18,16,30,64,6,0.17855668565092583,0.17238351269091534
WTA,Leylah Fernandez,0.9940476190476191,0.9605911330049262,0.9422222222222222,168,203,225,596,3,1.076389556093023,0.4392756633565886
WTA,Lin Zhu,1.0,0.9583333333333334,0.9897959183673469,100,72,98,270,1,1.5867592675378255,0.047017582003877484
WTA,Linda Fruhvirtova,0.9583333333333334,1.0,1.0,24,19,19,62,1,1.656588865316023,-0.9952312007589613
WTA,Linda Noskova,0.9915966386554622,0.9583333333333334,0.9705882352941176,119,48,34,201,1,1.2799230785945215,0.08274066569635083
WTA,Liudmila Samsonova,0.9861751152073732,0.9668508287292817,0.9452054794520548,217,181,219,617,3,1.0770838350869096,0.2334977720656196
WTA,Lucia Bronzetti,0.9659090909090909,1.0,1.0,88,61,37,186,1,1.7677119957563086,-0.8384748983468088
WTA,Lucie Safarova,0.8902439024390244,0.953125,0.9425287356321839,82,128,87,297,2,-0.5478529494953751,-1.699641436978663
WTA,Luksika Kumkhum,0.88,0.8333333333333334,0.8611111111111112,50,12,36,98,0,-3.1537602981248556,-0.8255171204058935
WTA,Lulu Sun,0.9411764705882353,0.9807692307692307,1.0,34,52,55,141,1,1.1356276443952915,-1.3185133601667498
WTA,Madison Brengle,0.9879518072289156,0.9761904761904762,0.984375,83,84,64,231,1,1.6082882897123412,-0.172584480925369
WTA,Madison Keys,0.9215686274509803,0.9233176838810642,0.9029374201787995,510,639,783,1932,6,-0.8841697163761879,-0.570262127195034
WTA,Magda Linette,0.9771428571428571,0.9795918367346939,0.9433962264150944,175,147,159,481,1,1.1057248044961872,0.04532861491821713
WTA,Magdalena Frech,1.0,0.9629629629629629,0.9655172413793104,98,54,58,210,1,1.4195521939292728,0.3043214330973612
WTA,Magdalena Rybarikova,0.9772727272727273,0.9473684210526315,0.8910891089108911,44,76,101,221,3,0.15647120015969887,0.6719763509493318
WTA,Margarita Gasparyan,0.9285714285714286,0.9782608695652174,0.9565217391304348,42,46,46,134,1,0.5000728986514235,-1.10073982345407
WTA,Maria Camila Osorio Serrano,1.0,0.8095238095238095,0.7692307692307693,10,21,39,70,5,-2.605116812207942,2.6994260894935853
WTA,Maria Sakkari,0.9577464788732394,0.9517045454545454,0.9611940298507463,284,352,335,971,1,0.6007902410063961,-0.5042313657992045
WTA,Maria Sharapova,0.9361702127659575,0.9347826086956522,0.9538461538461539,188,138,195,521,4,-0.022889782326423202,-0.8425841621915399
WTA,Marie Bouzkova,0.9901960784313726,0.9653179190751445,0.9580838323353293,204,173,167,544,1,1.2376803472775801,0.1786925409335483
WTA,Marketa Vondrousova,0.9513677811550152,0.9506726457399103,0.9651741293532339,329,223,201,753,1,0.5308145743167486,-0.6779488683888785
